source,source_url,title,published_at,link,destination,advisory_level,priority,risk_score,risk_terms,summary
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Afghanistan - Level 4: Do Not Travel,"Fri, 20 Feb 2026",https://travel.state.gov/content/tsg_aem/us/en/home/international-travel/travel-advisories/destination.afg.html,Afghanistan,4,critical,100,civil unrest; crime; do not travel; kidnapping; terrorism; terrorist; unrest; wrongful detention,"Do not travel due to civil unrest , crime, terrorism , risk of wrongful detention , kidnapping , natural disasters , and limited health facilities . Do not travel to Afghanistan for any reason We urge American citizens in Afghanistan to leave immediately. U.S. citizens seeking U.S. government help to leave the country"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Azerbaijan - Level 3: Reconsider Travel,"Tue, 28 Apr 2026",https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/azerbajian-travel-advisory.html,Azerbaijan,3,high,100,armed conflict; do not travel; reconsider travel; terrorism; terrorist,"There was no change to the advisory level or risk indicators. Advisory summary and areas of increased risk were updated. Reconsider Travel to Azerbaijan due to terrorism, armed conflict, and risk of landmines. Some areas have increased risk. Read the entire Travel Advisory. Do not travel to: The southern border region"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Bangladesh - Level 3: Reconsider Travel,"Tue, 20 Jan 2026",https://travel.state.gov/content/tsg_aem/us/en/home/international-travel/travel-advisories/destination.bgd.html,Bangladesh,3,high,100,crime; kidnapping; reconsider travel; terrorism; terrorist; unrest,"Reconsider travel in Bangladesh due to kidnapping , unrest , crime , and terrorism . Some areas have increased risk. Read the entire Travel Advisory. Unrest Unrest and violence have decreased since summer 2024. Occasional protests continue with the potential for violent clashes. Conditions may change on short notice. U"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Benin - Level 2: Exercise Increased Caution,"Wed, 07 Jan 2026",https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/benin-travel-advisory.html,Benin,2,high,100,civil unrest; crime; do not travel; kidnapping; terrorism; terrorist; unrest,"There was no change to the advisory level. The “unrest” risk indicator was added. Advisory summary was updated. Exercise Increased Caution in Benin due to unrest, crime, terrorism, and kidnapping. Some areas have increased risk. Read the entire Travel Advisory. Do Not Travel to areas of Benin bordering Burkina Faso; Ni"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Burkina Faso - Level 4: Do Not Travel,"Mon, 04 May 2026",https://travel.state.gov/content/tsg_aem/us/en/home/international-travel/travel-advisories/destination.bfa.html,Burkina Faso,4,critical,100,crime; do not travel; kidnapping; terrorism; terrorist,"Do not travel to Burkina Faso for any reason due to crime , kidnapping , terrorism , and health . Do not travel to Burkina Faso for any reason. U.S. government employee travel restrictions U.S. government employees working in Burkina Faso are not allowed to travel outside of Ouagadougou due to safety risks. Personnel a"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Burma - Level 4: Do Not Travel,"Fri, 08 May 2026",https://travel.state.gov/content/tsg_aem/us/en/home/international-travel/travel-advisories/destination.mmr.html,Burma,4,critical,100,armed conflict; civil unrest; crime; do not travel; unrest,"Do not travel to Burma for any reason due to armed conflict , unrest , arbitrary enforcement of local laws , poor health infrastructure , landmines and unexploded ordnance , and crime . The Burmese military regime deposed elected leaders and officials in a February 2021 coup d'état. Protests and demonstrations against"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Burma - Level 4: Do Not Travel,"Fri, 08 May 2026",https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/burma-travel-advisory.html,Burma,4,critical,100,armed conflict; civil unrest; crime; do not travel; unrest,"There was no change to the advisory level. Advisory summary was updated. Do not travel to Burma for any reason due to armed conflict , unrest , arbitrary enforcement of local laws , poor health infrastructure , landmines and unexploded ordnance , and crime . Advisory Summary The Burmese military regime deposed elected"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Cameroon - Level 2: Exercise Increased Caution,"Fri, 15 May 2026",https://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/cameroon-travel-advisory.html,Cameroon,2,high,100,civil unrest; crime; do not travel; kidnapping; terrorism; terrorist; unrest,"There was no change to the advisory level or risk indicators. Advisory summary was updated. Exercise Increased Caution in Cameroon due to risk of crime, terrorism, unrest, health, kidnapping, and improvised explosive devices (IEDs). Some areas have increased risk. Read the entire Travel Advisory. Do Not Travel to the S"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Central African Republic - Level 4: Do Not Travel,"Thu, 15 Jan 2026",https://travel.state.gov/content/tsg_aem/us/en/home/international-travel/travel-advisories/destination.caf.html,Central African Republic,4,critical,100,armed conflict; civil unrest; crime; do not travel; kidnapping; outbreak; terrorism; terrorist; unrest,"Do not travel to Central African Republic due to risk of unrest , crime , kidnapping , landmines , health , and terrorism . The U.S. government has limited ability to provide emergency services to U.S. citizens in the Central African Republic. U.S. government employees working in the Central African Republic must get s"
U.S. Department of State Travel Advisories,https://travel.state.gov/_res/rss/TAsTWs.xml,Chad - Level 4: Do Not Travel,"Tue, 28 Apr 2026",https://travel.state.gov/content/tsg_aem/us/en/home/international-travel/travel-advisories/destination.tcd.html,Chad,4,critical,100,crime; do not travel; kidnapping; terrorism; terrorist; unrest,"Do not travel in Chad for any reason due to risk of crime , terrorism , unrest , inadequate health infrastructure, kidnapping , and landmines . Outside of N’Djamena, the U.S. government has extremely limited ability to provide emergency services to U.S. citizens in Chad. U.S. government employees working in Chad need s"
